1	79
2	78
1	79
0	80
1	79
1	79
3	77
2	78
0	80
0	80
1	79
2	78
2	78
1	79
2	78
5	75
1	79
2	78
0	80
3	77
1	79
2	78
1	79
1	79
0	80
2	78
0	80
1	79
3	77
1	79
3	77
1	79
2	78
2	78
1	79
2	78
0	80
2	78
1	79
1	79
2	78
1	79
1	79
3	77
2	78
2	78
3	77
1	79
0	80
0	80
1	79
3	77
0	80
0	80
1	79
1	79
0	80
0	80
0	80
0	80
2	78
1	79
2	78
2	78
2	78
1	79
1	79
4	76
2	78
0	80
1	79
2	78
2	78
2	78
1	79
4	76
2	78
1	79
3	77
3	77
3	77
1	79
1	79
4	76
1	79
1	79
2	78
1	79
1	79
2	78
2	78
2	78
1	79
1	79
0	80
2	78
1	79
2	78
2	78
2	78
1	79
1	79
1	79
1	79
0	80
0	80
2	78
1	79
0	80
3	77
0	80
0	80
2	78
1	79
1	79
2	78
0	80
2	78
1	79
0	80
0	80
0	80
1	79
2	78
0	80
0	80
0	80
1	79
0	80
0	80
1	79
3	77
1	79
1	79
4	76
3	77
2	78
4	76
1	79
0	80
3	77
2	78
4	76
1	79
1	79
3	77
1	79
1	79
1	79
1	79
1	79
1	79
1	79
4	76
3	77
1	79
3	77
3	77
2	78
1	79
1	79
0	80
0	80
1	79
1	79
1	79
2	78
0	80
1	79
1	79
1	79
2	78
3	77
2	78
2	78
2	78
3	77
1	79
0	80
4	76
1	79
5	75
1	79
2	78
2	78
3	77
2	78
1	79
0	80
0	80
2	78
2	78
2	78
1	79
3	77
2	78
1	79
2	78
2	78
34	46
1	79
2	78
1	79
0	80
1	79
1	79
3	77
2	78
0	80
0	80
1	79
2	78
2	78
2	78
34	46
34	46
